County name,State name,FIPS,Land area (sq. mi.),Years from college age,White,Black,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,Some Other Race,Two or More Races
Orange County,California,6059,790.57,10,11357,415,5971,56,76,19161,97,1876
Orange County,California,6059,790.57,11,11169,424,5986,41,101,19656,109,1835
Orange County,California,6059,790.57,12,10894,430,6168,69,103,19632,103,1864
Orange County,California,6059,790.57,13,10170,386,5315,51,105,18963,122,1800
Orange County,California,6059,790.57,14,10287,422,5318,58,76,19029,105,1891
Placer County,California,6061,1407.01,0,3532,64,275,27,4,883,9,248
Placer County,California,6061,1407.01,1,3549,71,292,41,6,834,11,296
Placer County,California,6061,1407.01,2,3337,70,299,24,10,841,9,297
Placer County,California,6061,1407.01,3,3313,56,271,32,12,974,12,294
Placer County,California,6061,1407.01,4,3347,79,292,22,16,948,11,278
Placer County,California,6061,1407.01,5,3282,67,289,28,10,909,14,287
Placer County,California,6061,1407.01,6,3139,48,305,27,8,900,13,298
Placer County,California,6061,1407.01,7,3120,59,297,20,3,918,18,295
Placer County,California,6061,1407.01,8,2976,53,281,29,4,963,7,309
Placer County,California,6061,1407.01,9,3039,50,287,19,10,928,15,280
Placer County,California,6061,1407.01,10,2897,52,268,21,14,921,12,310
Placer County,California,6061,1407.01,11,2734,50,262,27,9,919,5,286
Placer County,California,6061,1407.01,12,2680,32,274,13,7,887,19,300
Placer County,California,6061,1407.01,13,2518,45,243,13,4,893,12,285
Placer County,California,6061,1407.01,14,2425,33,263,15,3,821,11,268
Plumas County,California,6063,2553.04,0,159,4,2,9,0,32,2,8
Plumas County,California,6063,2553.04,1,161,3,1,8,0,25,0,16
Plumas County,California,6063,2553.04,2,151,1,1,18,0,28,0,13
Plumas County,California,6063,2553.04,3,125,1,2,11,0,29,1,9
Plumas County,California,6063,2553.04,4,152,1,0,7,0,27,0,15
Plumas County,California,6063,2553.04,5,135,2,4,5,0,35,0,14
Plumas County,California,6063,2553.04,6,122,0,0,5,0,17,0,9
Plumas County,California,6063,2553.04,7,165,1,1,7,0,29,0,7
Plumas County,California,6063,2553.04,8,134,4,1,6,0,32,0,14
Plumas County,California,6063,2553.04,9,168,2,0,5,0,30,0,14
Plumas County,California,6063,2553.04,10,116,3,1,1,0,19,0,12
Plumas County,California,6063,2553.04,11,135,1,3,6,0,41,0,11
Plumas County,California,6063,2553.04,12,134,1,2,3,0,28,0,12
Plumas County,California,6063,2553.04,13,131,2,1,0,0,31,0,10
Plumas County,California,6063,2553.04,14,123,5,0,5,0,28,1,17
Riverside County,California,6065,7206.48,0,9747,2426,1692,190,118,21186,60,1248
Riverside County,California,6065,7206.48,1,9511,2212,1610,180,100,20872,64,1191
Riverside County,California,6065,7206.48,2,9071,2175,1632,153,90,20813,64,1261
Riverside County,California,6065,7206.48,3,9193,2084,1488,162,96,20632,65,1232
Riverside County,California,6065,7206.48,4,9049,2020,1520,137,90,20836,60,1314
Riverside County,California,6065,7206.48,5,8754,1978,1598,159,88,20744,58,1264
Riverside County,California,6065,7206.48,6,8342,1808,1405,134,79,20018,73,1267
Riverside County,California,6065,7206.48,7,8227,1833,1487,156,94,19985,66,1234
Riverside County,California,6065,7206.48,8,8459,1674,1474,155,73,19954,84,1233
Riverside County,California,6065,7206.48,9,8104,1712,1504,147,89,20215,71,1266
Riverside County,California,6065,7206.48,10,8042,1733,1446,147,86,20377,76,1289
Riverside County,California,6065,7206.48,11,8125,1718,1473,152,86,20784,59,1302
Riverside County,California,6065,7206.48,12,7946,1755,1420,152,102,20618,85,1364
Riverside County,California,6065,7206.48,13,7674,1726,1240,146,67,19340,72,1272
Riverside County,California,6065,7206.48,14,7171,1471,1242,149,78,19093,69,1291
Sacramento County,California,6067,964.64,0,7641,2404,2977,108,208,5743,42,1405
Sacramento County,California,6067,964.64,1,7394,2248,2922,101,181,5915,52,1370
Sacramento County,California,6067,964.64,2,7178,2335,2808,96,175,5805,55,1433
Sacramento County,California,6067,964.64,3,7040,2247,2650,92,167,5901,61,1400
Sacramento County,California,6067,964.64,4,6999,2191,2587,97,181,6039,60,1512
Sacramento County,California,6067,964.64,5,6907,2121,2853,95,171,5939,55,1473
Sacramento County,California,6067,964.64,6,6816,2068,2650,75,177,6027,53,1488
Sacramento County,California,6067,964.64,7,6730,1987,2681,84,203,6205,65,1413
Sacramento County,California,6067,964.64,8,6820,1983,2728,85,162,6231,66,1589
Sacramento County,California,6067,964.64,9,6803,1951,2814,76,212,6534,61,1661
Sacramento County,California,6067,964.64,10,6929,2015,2789,94,184,6676,53,1750
Sacramento County,California,6067,964.64,11,6896,2056,2761,94,217,6966,66,1696
Sacramento County,California,6067,964.64,12,6885,2020,2765,100,218,6728,69,1834
Sacramento County,California,6067,964.64,13,6567,1971,2645,75,195,6569,53,1801
Sacramento County,California,6067,964.64,14,6470,1874,2442,78,202,6424,47,1789
San Benito County,California,6069,1388.71,0,302,8,21,4,0,618,0,25
San Benito County,California,6069,1388.71,1,246,5,24,3,1,617,3,29
San Benito County,California,6069,1388.71,2,294,4,14,5,0,606,2,32
San Benito County,California,6069,1388.71,3,244,7,17,2,2,618,2,21
San Benito County,California,6069,1388.71,4,240,9,16,7,0,638,2,21
San Benito County,California,6069,1388.71,5,242,6,25,4,1,602,0,29
San Benito County,California,6069,1388.71,6,219,6,14,6,1,592,2,25
San Benito County,California,6069,1388.71,7,201,5,12,5,0,597,0,24
San Benito County,California,6069,1388.71,8,216,6,12,7,0,606,2,19
San Benito County,California,6069,1388.71,9,191,3,13,1,0,612,0,20
San Benito County,California,6069,1388.71,10,184,7,15,6,0,639,2,22
San Benito County,California,6069,1388.71,11,220,4,12,3,0,613,3,14
San Benito County,California,6069,1388.71,12,167,2,9,3,0,637,1,14
San Benito County,California,6069,1388.71,13,159,2,7,4,0,585,0,12
San Benito County,California,6069,1388.71,14,170,1,5,0,0,558,1,11
San Bernardino County,California,6071,20056.94,0,7934,3027,1609,118,120,21096,89,1067
San Bernardino County,California,6071,20056.94,1,7631,3031,1567,104,125,20746,73,1023
San Bernardino County,California,6071,20056.94,2,7202,2838,1583,111,109,20297,96,1025
San Bernardino County,California,6071,20056.94,3,7114,2803,1445,83,103,20293,100,1048
San Bernardino County,California,6071,20056.94,4,7098,2753,1509,92,99,20470,79,1082
San Bernardino County,California,6071,20056.94,5,6917,2673,1617,96,124,19828,79,1017
San Bernardino County,California,6071,20056.94,6,6517,2570,1454,78,94,19337,65,998
San Bernardino County,California,6071,20056.94,7,6557,2489,1422,96,90,19669,70,985
San Bernardino County,California,6071,20056.94,8,6495,2384,1394,76,84,19587,92,1077
San Bernardino County,California,6071,20056.94,9,6364,2423,1418,82,103,19811,56,1080
San Bernardino County,California,6071,20056.94,10,6622,2525,1458,88,90,20220,67,1117
San Bernardino County,California,6071,20056.94,11,6679,2517,1386,78,99,20326,72,1165
San Bernardino County,California,6071,20056.94,12,6754,2561,1454,84,81,20430,55,1122
San Bernardino County,California,6071,20056.94,13,6536,2434,1300,67,66,19701,72,1148
San Bernardino County,California,6071,20056.94,14,6401,2349,1277,77,80,18992,77,1163
San Diego County,California,6073,4206.63,0,14162,2104,3742,174,182,18622,101,2110
San Diego County,California,6073,4206.63,1,13898,2008,3602,173,170,18042,96,1975
San Diego County,California,6073,4206.63,2,13530,1953,3547,168,166,17733,106,2131
San Diego County,California,6073,4206.63,3,13316,1936,3475,188,158,17723,119,2036
San Diego County,California,6073,4206.63,4,13391,1849,3584,168,143,17919,102,2114
San Diego County,California,6073,4206.63,5,13019,1787,3704,181,157,17805,121,2143
San Diego County,California,6073,4206.63,6,12704,1776,3346,149,144,17505,100,2207
San Diego County,California,6073,4206.63,7,12886,1788,3495,183,151,17559,113,2259
San Diego County,California,6073,4206.63,8,13117,1710,3633,162,137,17762,113,2445
San Diego County,California,6073,4206.63,9,13191,1775,3614,179,169,18063,124,2553
San Diego County,California,6073,4206.63,10,13264,1861,3470,147,153,18327,132,2626
San Diego County,California,6073,4206.63,11,13798,1893,3551,173,138,18894,112,2617
San Diego County,California,6073,4206.63,12,13380,1949,3586,157,163,19130,118,2671
San Diego County,California,6073,4206.63,13,13573,1871,3297,198,140,18484,109,2767
San Diego County,California,6073,4206.63,14,13723,1869,3310,199,129,18580,106,2758
San Francisco County,California,6075,46.87,0,1041,465,2306,8,51,1154,36,273
San Francisco County,California,6075,46.87,1,1053,411,2329,4,40,1221,26,336
San Francisco County,California,6075,46.87,2,1120,396,2078,11,48,1148,28,309
San Francisco County,California,6075,46.87,3,1195,408,1923,9,49,1169,28,315
San Francisco County,California,6075,46.87,4,1264,411,1935,8,39,1286,19,349
San Francisco County,California,6075,46.87,5,1371,389,2085,7,44,1237,33,424
San Francisco County,California,6075,46.87,6,1388,423,1662,5,55,1243,28,387
San Francisco County,California,6075,46.87,7,1550,438,1829,7,45,1308,37,466
San Francisco County,California,6075,46.87,8,1755,369,1768,12,47,1369,32,512
San Francisco County,California,6075,46.87,9,1784,363,1988,8,40,1354,42,558
San Francisco County,California,6075,46.87,10,1895,382,1798,12,30,1516,34,542
San Francisco County,California,6075,46.87,11,2086,426,1864,13,35,1481,47,633
San Francisco County,California,6075,46.87,12,2438,415,1861,8,35,1673,51,718
San Francisco County,California,6075,46.87,13,2631,371,1849,9,46,1637,48,800
San Francisco County,California,6075,46.87,14,3093,360,1772,10,33,1652,43,856
San Joaquin County,California,6077,1391.32,0,2982,832,1527,54,49,5410,19,588
San Joaquin County,California,6077,1391.32,1,2824,934,1471,40,43,5390,20,548
San Joaquin County,California,6077,1391.32,2,2775,852,1471,40,56,5417,18,544
San Joaquin County,California,6077,1391.32,3,2729,829,1431,45,58,5488,26,561
San Joaquin County,California,6077,1391.32,4,2632,794,1456,39,44,5568,30,531
San Joaquin County,California,6077,1391.32,5,2613,780,1456,48,38,5712,25,536
San Joaquin County,California,6077,1391.32,6,2449,775,1428,39,58,5639,24,574
San Joaquin County,California,6077,1391.32,7,2350,740,1360,33,46,5646,24,569
San Joaquin County,California,6077,1391.32,8,2306,725,1444,32,51,5603,37,535
San Joaquin County,California,6077,1391.32,9,2331,754,1486,38,46,5830,24,606
San Joaquin County,California,6077,1391.32,10,2385,770,1393,30,49,5989,35,567
San Joaquin County,California,6077,1391.32,11,2316,747,1387,28,37,6032,32,625
San Joaquin County,California,6077,1391.32,12,2177,750,1301,44,39,5997,24,592
San Joaquin County,California,6077,1391.32,13,2229,678,1278,24,37,5575,19,583
San Joaquin County,California,6077,1391.32,14,2064,687,1271,35,37,5769,33,563
San Luis Obispo County,California,6079,3298.57,0,1780,30,68,15,3,942,6,120
San Luis Obispo County,California,6079,3298.57,1,1732,33,65,16,3,953,5,104
San Luis Obispo County,California,6079,3298.57,2,1660,24,58,10,2,922,6,109
San Luis Obispo County,California,6079,3298.57,3,1614,31,69,15,3,976,5,103
San Luis Obispo County,California,6079,3298.57,4,1558,17,57,11,3,957,4,112
San Luis Obispo County,California,6079,3298.57,5,1573,26,83,14,5,1016,5,92
San Luis Obispo County,California,6079,3298.57,6,1530,20,58,19,2,929,2,109
San Luis Obispo County,California,6079,3298.57,7,1501,21,76,12,8,995,8,122
San Luis Obispo County,California,6079,3298.57,8,1505,21,80,10,6,1022,4,94
San Luis Obispo County,California,6079,3298.57,9,1542,17,77,13,4,1027,2,123
San Luis Obispo County,California,6079,3298.57,10,1444,28,53,12,1,1038,5,124
San Luis Obispo County,California,6079,3298.57,11,1474,26,58,5,5,1100,6,119
San Luis Obispo County,California,6079,3298.57,12,1453,28,47,10,4,1037,3,106
San Luis Obispo County,California,6079,3298.57,13,1369,24,48,7,1,985,2,124
San Luis Obispo County,California,6079,3298.57,14,1360,16,44,7,3,1046,8,113
San Mateo County,California,6081,448.41,0,2886,205,1825,15,143,2858,35,552
San Mateo County,California,6081,448.41,1,2881,177,1803,14,137,2863,53,527
San Mateo County,California,6081,448.41,2,2850,181,1755,10,161,2818,43,528
San Mateo County,California,6081,448.41,3,2847,170,1792,13,141,2862,49,568
San Mateo County,California,6081,448.41,4,2968,192,1786,16,156,2954,46,583
San Mateo County,California,6081,448.41,5,2993,175,1877,4,142,2962,47,575
San Mateo County,California,6081,448.41,6,2933,180,1786,14,164,3053,27,594
San Mateo County,California,6081,448.41,7,3045,172,1826,11,155,3000,69,644
San Mateo County,California,6081,448.41,8,3051,153,1868,8,136,3096,62,710
San Mateo County,California,6081,448.41,9,3030,142,1931,12,151,3103,50,778
San Mateo County,California,6081,448.41,10,2977,185,1933,9,148,3313,47,751
San Mateo County,California,6081,448.41,11,2897,139,1973,10,136,3361,43,748
San Mateo County,California,6081,448.41,12,2793,174,2052,16,128,3340,59,744
San Mateo County,California,6081,448.41,13,2718,143,1938,8,156,3335,52,772
San Mateo County,California,6081,448.41,14,2719,133,2011,8,145,3360,71,815
Santa Barbara County,California,6083,2735.09,0,1871,78,154,19,6,3313,13,155
Santa Barbara County,California,6083,2735.09,1,1700,62,180,13,8,3087,13,182
Santa Barbara County,California,6083,2735.09,2,1601,72,173,13,8,3142,10,170
Santa Barbara County,California,6083,2735.09,3,1675,77,153,14,11,3234,9,165
Santa Barbara County,California,6083,2735.09,4,1629,81,160,22,7,3178,14,154
Santa Barbara County,California,6083,2735.09,5,1603,63,163,27,4,3348,10,170
Santa Barbara County,California,6083,2735.09,6,1487,49,128,20,7,3166,13,136
Santa Barbara County,California,6083,2735.09,7,1495,59,150,23,4,3228,14,172
Santa Barbara County,California,6083,2735.09,8,1543,60,149,15,6,3258,11,171
Santa Barbara County,California,6083,2735.09,9,1523,67,175,23,4,3571,10,178
Santa Barbara County,California,6083,2735.09,10,1484,56,130,21,6,3604,9,192
Santa Barbara County,California,6083,2735.09,11,1485,52,122,19,7,3617,13,198
Santa Barbara County,California,6083,2735.09,12,1421,69,121,24,5,3738,15,161
Santa Barbara County,California,6083,2735.09,13,1395,47,150,11,3,3612,8,202
Santa Barbara County,California,6083,2735.09,14,1341,46,136,19,6,3595,17,193
Santa Clara County,California,6085,1290.1,0,6194,508,6481,54,87,7980,67,1173
Santa Clara County,California,6085,1290.1,1,6081,464,6633,44,71,8083,66,1115
Santa Clara County,California,6085,1290.1,2,5897,475,6641,31,72,8181,53,1212
Santa Clara County,California,6085,1290.1,3,5887,508,6548,43,82,8388,69,1285
Santa Clara County,California,6085,1290.1,4,5832,507,6911,49,82,8329,72,1315
Santa Clara County,California,6085,1290.1,5,5978,469,7588,37,81,8750,78,1316
Santa Clara County,California,6085,1290.1,6,5660,460,7183,51,66,8649,89,1338
Santa Clara County,California,6085,1290.1,7,5811,428,7718,40,65,8793,83,1470
Santa Clara County,California,6085,1290.1,8,5731,408,8078,51,80,8992,89,1505
Santa Clara County,California,6085,1290.1,9,5612,441,8015,57,86,8897,71,1614
Santa Clara County,California,6085,1290.1,10,5761,448,7834,60,75,9232,92,1601
Santa Clara County,California,6085,1290.1,11,5500,483,8091,58,90,9623,92,1663
Santa Clara County,California,6085,1290.1,12,5335,492,8120,61,85,9662,95,1647
Santa Clara County,California,6085,1290.1,13,4937,453,7839,69,73,9374,81,1687
Santa Clara County,California,6085,1290.1,14,4942,425,7301,74,64,9243,75,1627
Santa Cruz County,California,6087,445.17,0,1427,26,71,7,6,1471,10,132
Santa Cruz County,California,6087,445.17,1,1384,27,76,15,3,1409,8,127
Santa Cruz County,California,6087,445.17,2,1407,24,57,11,2,1463,11,155
Santa Cruz County,California,6087,445.17,3,1338,25,47,8,3,1459,5,135
Santa Cruz County,California,6087,445.17,4,1307,28,60,10,0,1460,11,122
Santa Cruz County,California,6087,445.17,5,1355,15,60,9,1,1465,8,138
Santa Cruz County,California,6087,445.17,6,1263,19,70,7,1,1503,10,143
Santa Cruz County,California,6087,445.17,7,1189,20,63,11,1,1492,14,152
Santa Cruz County,California,6087,445.17,8,1294,11,44,12,1,1584,11,133
Santa Cruz County,California,6087,445.17,9,1133,22,53,2,0,1613,17,132
Santa Cruz County,California,6087,445.17,10,1140,16,63,8,2,1572,8,146
Santa Cruz County,California,6087,445.17,11,1193,25,66,8,2,1735,13,141
Santa Cruz County,California,6087,445.17,12,1141,14,63,8,0,1668,18,145
Santa Cruz County,California,6087,445.17,13,1109,24,41,4,3,1677,9,162
Santa Cruz County,California,6087,445.17,14,1070,19,42,6,2,1543,16,123
Shasta County,California,6089,3775.4,0,1790,41,64,77,3,289,3,133
Shasta County,California,6089,3775.4,1,1684,31,63,70,2,336,5,146
Shasta County,California,6089,3775.4,2,1558,21,50,84,2,314,2,128
Shasta County,California,6089,3775.4,3,1621,30,63,74,3,326,2,115
Shasta County,California,6089,3775.4,4,1626,35,55,69,1,333,2,143
Shasta County,California,6089,3775.4,5,1568,17,48,67,4,311,2,141
Shasta County,California,6089,3775.4,6,1525,22,61,65,2,328,3,148
Shasta County,California,6089,3775.4,7,1489,14,77,57,2,309,5,134
Shasta County,California,6089,3775.4,8,1516,16,52,47,5,309,4,144
Shasta County,California,6089,3775.4,9,1469,20,59,50,3,329,3,112
Shasta County,California,6089,3775.4,10,1454,27,57,67,4,331,6,147
Shasta County,California,6089,3775.4,11,1471,25,50,64,4,332,3,124
Shasta County,California,6089,3775.4,12,1479,25,61,44,1,337,3,154
Shasta County,California,6089,3775.4,13,1425,24,46,56,3,299,4,156
Shasta County,California,6089,3775.4,14,1404,20,37,61,0,304,2,157
Sierra County,California,6091,953.21,0,29,0,0,0,0,8,0,0
Sierra County,California,6091,953.21,1,27,0,0,0,0,5,0,1
Sierra County,California,6091,953.21,2,27,0,0,0,0,6,0,1
Sierra County,California,6091,953.21,3,23,0,0,0,0,4,0,0
Sierra County,California,6091,953.21,4,20,0,0,0,0,5,0,0
Sierra County,California,6091,953.21,5,30,0,0,0,0,2,0,0
Sierra County,California,6091,953.21,6,19,0,0,1,0,4,0,1
Sierra County,California,6091,953.21,7,25,0,0,0,0,6,0,1
Sierra County,California,6091,953.21,8,20,0,0,0,0,1,0,2
Sierra County,California,6091,953.21,9,16,0,0,0,0,2,0,1
Sierra County,California,6091,953.21,10,26,0,0,0,0,3,0,3
Sierra County,California,6091,953.21,11,18,0,0,1,0,3,0,1
Sierra County,California,6091,953.21,12,27,0,0,1,0,2,0,4
Sierra County,California,6091,953.21,13,16,0,0,1,0,3,0,3
Sierra County,California,6091,953.21,14,24,0,0,1,0,9,0,1
Siskiyou County,California,6093,6277.89,0,383,5,6,22,1,90,2,41
Siskiyou County,California,6093,6277.89,1,381,4,5,23,1,118,1,31
Siskiyou County,California,6093,6277.89,2,347,8,6,17,1,86,1,36
Siskiyou County,California,6093,6277.89,3,368,11,10,24,2,83,0,41
Siskiyou County,California,6093,6277.89,4,377,9,6,27,1,101,3,47
Siskiyou County,California,6093,6277.89,5,310,3,4,26,0,94,0,38
Siskiyou County,California,6093,6277.89,6,312,7,7,18,4,89,0,32
Siskiyou County,California,6093,6277.89,7,308,4,1,25,3,86,1,33
Siskiyou County,California,6093,6277.89,8,343,4,4,25,3,88,1,38
Siskiyou County,California,6093,6277.89,9,336,5,6,23,0,88,2,39
Siskiyou County,California,6093,6277.89,10,303,6,3,21,0,88,1,51
Siskiyou County,California,6093,6277.89,11,345,2,4,21,1,101,2,46
Siskiyou County,California,6093,6277.89,12,323,5,6,25,2,101,2,46
Siskiyou County,California,6093,6277.89,13,311,6,3,24,0,106,1,46
Siskiyou County,California,6093,6277.89,14,296,6,0,25,1,96,0,47
Solano County,California,6095,821.76,0,1808,824,705,18,45,1843,13,544
Solano County,California,6095,821.76,1,1733,853,721,17,39,1894,21,502
Solano County,California,6095,821.76,2,1667,875,729,20,54,1878,19,558
Solano County,California,6095,821.76,3,1586,807,703,18,46,1975,14,571
Solano County,California,6095,821.76,4,1520,819,689,6,46,1855,12,528
Solano County,California,6095,821.76,5,1518,785,654,25,38,2002,21,575
Solano County,California,6095,821.76,6,1515,762,662,20,38,1982,7,545
Solano County,California,6095,821.76,7,1512,698,610,21,42,1999,12,553
Solano County,California,6095,821.76,8,1449,682,619,23,28,1984,9,537
Solano County,California,6095,821.76,9,1516,672,602,19,29,1960,11,575
Solano County,California,6095,821.76,10,1461,646,617,15,27,2032,17,548
Solano County,California,6095,821.76,11,1444,729,579,12,34,2134,12,567
Solano County,California,6095,821.76,12,1480,643,580,16,22,2136,15,585
Solano County,California,6095,821.76,13,1423,693,584,15,24,2025,12,585
Solano County,California,6095,821.76,14,1361,629,521,22,34,1993,18,562
Sonoma County,California,6097,1575.85,0,3179,94,213,49,18,2147,14,288
Sonoma County,California,6097,1575.85,1,3171,96,235,41,27,2251,19,287
Sonoma County,California,6097,1575.85,2,3069,95,188,53,12,2152,16,296
Sonoma County,California,6097,1575.85,3,3010,77,199,52,18,2232,22,295
Sonoma County,California,6097,1575.85,4,2866,65,208,39,18,2306,17,290
Sonoma County,California,6097,1575.85,5,2865,77,199,41,9,2400,19,273
Sonoma County,California,6097,1575.85,6,2761,67,188,45,15,2388,16,296
Sonoma County,California,6097,1575.85,7,2748,86,176,37,17,2491,10,293
Sonoma County,California,6097,1575.85,8,2741,71,203,64,9,2473,12,308
Sonoma County,California,6097,1575.85,9,2569,91,196,39,13,2612,16,329
Sonoma County,California,6097,1575.85,10,2593,63,180,39,12,2507,17,303
Sonoma County,California,6097,1575.85,11,2529,75,173,42,12,2744,22,348
Sonoma County,California,6097,1575.85,12,2371,78,156,39,20,2592,9,308
Sonoma County,California,6097,1575.85,13,2289,59,155,32,13,2620,17,319
Sonoma County,California,6097,1575.85,14,2321,65,144,49,17,2524,13,330
Stanislaus County,California,6099,1494.83,0,3032,273,369,48,63,4460,13,322
Stanislaus County,California,6099,1494.83,1,2898,233,393,42,42,4421,23,303
Stanislaus County,California,6099,1494.83,2,2745,216,358,25,42,4452,12,309
Stanislaus County,California,6099,1494.83,3,2771,225,345,45,32,4348,20,279
Stanislaus County,California,6099,1494.83,4,2624,198,337,35,42,4560,23,298
Stanislaus County,California,6099,1494.83,5,2587,168,353,30,41,4478,17,299
Stanislaus County,California,6099,1494.83,6,2480,199,316,24,36,4659,14,285
Stanislaus County,California,6099,1494.83,7,2546,200,327,24,36,4661,17,297
Stanislaus County,California,6099,1494.83,8,2473,188,305,24,38,4571,15,281
Stanislaus County,California,6099,1494.83,9,2483,184,343,22,34,4630,13,315
Stanislaus County,California,6099,1494.83,10,2447,183,335,28,31,4674,14,317
Stanislaus County,California,6099,1494.83,11,2460,162,327,22,31,4753,22,335
Stanislaus County,California,6099,1494.83,12,2437,177,285,16,36,4839,13,345
Stanislaus County,California,6099,1494.83,13,2364,164,257,25,37,4609,12,335
Stanislaus County,California,6099,1494.83,14,2341,154,265,23,27,4515,21,341
Sutter County,California,6101,602.41,0,639,29,196,19,2,509,4,70
Sutter County,California,6101,602.41,1,589,16,189,13,5,532,4,68
Sutter County,California,6101,602.41,2,551,31,176,14,4,526,2,92
Sutter County,California,6101,602.41,3,574,21,207,11,5,545,3,81
Sutter County,California,6101,602.41,4,556,14,184,15,4,565,4,77
Sutter County,California,6101,602.41,5,600,27,182,14,4,596,0,58
Sutter County,California,6101,602.41,6,551,20,191,10,2,559,4,57
Sutter County,California,6101,602.41,7,553,19,187,16,1,599,1,89
Sutter County,California,6101,602.41,8,554,21,189,21,3,568,3,75
Sutter County,California,6101,602.41,9,556,19,202,11,3,661,1,65
Sutter County,California,6101,602.41,10,524,28,180,9,1,587,3,80
Sutter County,California,6101,602.41,11,548,19,199,15,0,665,5,88
Sutter County,California,6101,602.41,12,498,24,145,13,1,671,4,70
Sutter County,California,6101,602.41,13,496,22,179,10,3,612,2,85
Sutter County,California,6101,602.41,14,467,23,173,10,4,604,3,83
Tehama County,California,6103,2949.71,0,563,9,13,17,0,296,1,33
Tehama County,California,6103,2949.71,1,520,7,11,18,0,302,0,33
Tehama County,California,6103,2949.71,2,500,11,10,17,0,295,2,33
Tehama County,California,6103,2949.71,3,519,7,8,16,0,306,1,29
Tehama County,California,6103,2949.71,4,512,11,9,15,1,277,0,29
Tehama County,California,6103,2949.71,5,513,6,8,22,1,289,3,37
Tehama County,California,6103,2949.71,6,492,1,5,19,2,280,1,41
Tehama County,California,6103,2949.71,7,485,6,11,6,0,301,1,34
Tehama County,California,6103,2949.71,8,520,7,5,22,2,313,1,33
Tehama County,California,6103,2949.71,9,481,4,10,19,0,324,0,21
Tehama County,California,6103,2949.71,10,488,2,9,17,2,329,3,30
Tehama County,California,6103,2949.71,11,515,3,8,18,0,352,2,44
Tehama County,California,6103,2949.71,12,490,5,6,12,0,314,1,30
Tehama County,California,6103,2949.71,13,472,3,5,11,0,316,0,31
Tehama County,California,6103,2949.71,14,442,4,11,23,0,372,1,38
Trinity County,California,6105,3179.25,0,125,2,1,11,2,20,0,11
Trinity County,California,6105,3179.25,1,117,0,4,5,0,29,0,7
Trinity County,California,6105,3179.25,2,100,1,1,7,1,19,0,8
Trinity County,California,6105,3179.25,3,102,2,0,8,0,27,0,14
Trinity County,California,6105,3179.25,4,90,0,3,3,0,15,0,9
Trinity County,California,6105,3179.25,5,81,0,1,11,0,12,0,7
Trinity County,California,6105,3179.25,6,108,0,0,5,0,17,1,16
Trinity County,California,6105,3179.25,7,99,0,1,8,1,11,0,3
Trinity County,California,6105,3179.25,8,91,0,1,7,0,16,1,6
Trinity County,California,6105,3179.25,9,103,1,0,7,1,15,0,9
Trinity County,California,6105,3179.25,10,107,0,1,9,0,26,1,13
Trinity County,California,6105,3179.25,11,92,0,0,5,0,15,1,13
Trinity County,California,6105,3179.25,12,85,0,2,6,0,14,1,8
Trinity County,California,6105,3179.25,13,86,0,0,4,0,13,0,5
Trinity County,California,6105,3179.25,14,78,0,0,3,0,24,0,6
Tulare County,California,6107,4824.21,0,1788,108,223,60,8,5499,11,121
Tulare County,California,6107,4824.21,1,1717,93,220,75,3,5595,19,119
Tulare County,California,6107,4824.21,2,1695,83,169,57,5,5451,15,133
Tulare County,California,6107,4824.21,3,1677,76,202,45,8,5585,9,139
Tulare County,California,6107,4824.21,4,1636,98,191,67,4,5783,15,124
Tulare County,California,6107,4824.21,5,1637,80,196,51,5,5925,12,136
Tulare County,California,6107,4824.21,6,1555,83,211,50,6,5754,12,113
Tulare County,California,6107,4824.21,7,1519,80,168,59,6,5897,19,149
Tulare County,California,6107,4824.21,8,1574,74,218,45,5,5927,11,154
Tulare County,California,6107,4824.21,9,1503,59,196,60,5,6230,13,153
Tulare County,California,6107,4824.21,10,1522,66,183,43,8,6183,13,144
Tulare County,California,6107,4824.21,11,1551,69,193,45,6,6283,9,167
Tulare County,California,6107,4824.21,12,1372,67,182,45,8,6509,10,147
Tulare County,California,6107,4824.21,13,1433,78,181,46,4,6149,19,165
Tulare County,California,6107,4824.21,14,1377,77,194,33,6,6334,13,140
Tuolumne County,California,6109,2220.88,0,500,1,7,13,2,73,1,27
Tuolumne County,California,6109,2220.88,1,463,5,4,8,1,92,2,25
Tuolumne County,California,6109,2220.88,2,435,1,9,19,1,98,4,31
Tuolumne County,California,6109,2220.88,3,425,4,9,6,2,73,4,28
Tuolumne County,California,6109,2220.88,4,406,6,7,13,0,91,0,24
Tuolumne County,California,6109,2220.88,5,364,2,3,8,0,83,1,28
Tuolumne County,California,6109,2220.88,6,364,4,6,4,0,74,0,30
Tuolumne County,California,6109,2220.88,7,361,7,7,10,3,84,0,18
Tuolumne County,California,6109,2220.88,8,398,2,7,8,1,81,0,19
Tuolumne County,California,6109,2220.88,9,386,3,8,8,0,95,0,24
Tuolumne County,California,6109,2220.88,10,366,4,2,10,3,87,1,22
Tuolumne County,California,6109,2220.88,11,378,1,4,9,1,70,0,25
Tuolumne County,California,6109,2220.88,12,322,3,7,10,1,84,0,22
Tuolumne County,California,6109,2220.88,13,352,1,6,4,0,73,0,21
